Stytting,Nafn,staðsetning,V,N,Stock,max
Pat,Patreksfjörður,-45,-24.09576416,65.61011642,20.0,20.0
Tal,Tálknafjörður,-37,-23.98429155,65.65544416,0.0,0.0
Arn,Arnarfjörður,0,-23.73847246,65.7565786,20.0,20.0
Dyr,Dýrafjörður,30,-23.60800982,65.90389617,10.0,10.0
Onu,Önundarfjörður,55,-23.62036943,66.06486161,2.5,2.5
Isa,Ísafjarðardjúp,105,-22.86160469,66.09159061,12.0,30.0
Sey,Seyðisfjörður,1100,-13.743553,65.301216,6.5,10.0
Mjo,Mjóifjörður / Norðfjarðarflói,1115,-13.62693071,65.2055001,0.0,0.0
Rey,Reyðarfjörður,1155,-13.82880449,64.98458614,16.0,20.0
Fas,Fáskrúðsfjörður,1157,-13.79035234,64.89617199,12.0,15.0
Sto,Stöðvarfjörður,1165,-13.87137651,64.82265986,0.0,7.0
Ber,Berufjörður,1200,-14.366124,64.714779,8.0,10.0
